batch_id,calibration*mic,config,configVer,data*LAeq,data*co2,data*humidity,data*humidityRH,data*no2,dataNoise0,dataNoise1,dataNoise10,dataNoise11,dataNoise12,dataNoise13,dataNoise14,dataNoise15,dataNoise16,dataNoise17,dataNoise18,dataNoise19,dataNoise2,dataNoise20,dataNoise21,dataNoise22,dataNoise23,dataNoise24,dataNoise25,dataNoise26,dataNoise27,dataNoise28,dataNoise29,dataNoise3,dataNoise30,dataNoise31,dataNoise32,dataNoise33,dataNoise34,dataNoise35,dataNoise36,dataNoise37,dataNoise38,dataNoise39,dataNoise4,dataNoise40,dataNoise41,dataNoise42,dataNoise43,dataNoise44,dataNoise45,dataNoise46,dataNoise47,dataNoise48,dataNoise49,dataNoise5,dataNoise50,dataNoise51,dataNoise52,dataNoise53,dataNoise54,dataNoise55,dataNoise56,dataNoise57,dataNoise58,dataNoise59,dataNoise6,dataNoise60,dataNoise61,dataNoise62,dataNoise63,dataNoise64,dataNoise65,dataNoise66,dataNoise67,dataNoise68,dataNoise69,dataNoise7,dataNoise70,dataNoise71,dataNoise72,dataNoise73,dataNoise74,dataNoise75,dataNoise76,dataNoise8,dataNoise9,data*particles,data*temperature,data*temperatureTC,location,measured_time,meta*no2*gaz,meta*no2*lifetime,meta*no2*serial,meta*noise*gain,meta*noise*offset,meta*noise*sensibility,meter_code,park_code,serial,timestamp,version
181003110942,2108.0,noname,_,6834,-1.0,34872,60.513061523438,255,0,0,0,0,0,1,4,3,3,6,25,6,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427,24440,18.680346679687,"52.408861,-1.825003",2018-10-03 11:15:00+00:00,CNB,94.0,3798.0,19.0,3.0,2108.0,521,220,0,1989-02-07 11:15:00,1
181003110942,2108.0,noname,_,6833,-1.0,33444,57.789367675781,255,0,0,1,1,1,1,3,1,5,5,9,10,0,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,1207,24648,19.238051757812,"52.408861,-1.825003",2018-10-03 12:03:00+00:00,CNB,94.0,3798.0,19.0,3.0,2108.0,521,220,800044,1989-02-07 12:03:00,1
181003110942,2108.0,noname,_,6979,-1.0,33460,57.819885253906,255,0,0,4,4,3,1,1,1,1,5,4,8,0,7,3,1,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,889,24692,19.356027832031,"52.408861,-1.825003",2018-10-03 12:05:00+00:00,CNB,94.0,3798.0,19.0,3.0,2108.0,521,220,800044,1989-02-07 12:05:00,1
181003121239,,noname,_,65535,-1.0,32940,56.828063964844,255,0,0,4,4,5,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,661,24764,19.549079589844002,"52.408861,-1.825003",2018-10-03 12:10:00+00:00,,,,,,,521,220,800044,1989-02-07 12:10:00,1
181003121239,,noname,_,65535,-1.0,32896,56.744140625,255,0,0,0,0,0,0,2,4,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,24764,19.549079589844002,"52.408861,-1.825003",2018-10-03 11:09:46+00:00,,,,,,,521,220,800044,1989-02-07 11:09:46,1
181003121239,,noname,_,6539,-1.0,32864,56.68310546875,255,0,0,1,1,5,3,13,9,7,6,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,684,24764,19.549079589844002,"52.408861,-1.825003",2018-10-03 11:10:00+00:00,,,,,,,521,220,800044,1989-02-07 11:10:00,1
181003121337,,noname,_,6396,-1.0,32744,56.454223632812,255,0,0,1,3,4,0,6,9,9,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,3,4375,24768,19.5598046875,"52.408861,-1.825003",2018-10-03 11:11:00+00:00,,,,,,,521,220,800044,1989-02-07 11:11:00,1
181003121337,,noname,_,65535,-1.0,32728,56.423706054688,255,0,0,0,0,2,3,3,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1871,24772,19.570529785156,"52.408861,-1.825003",2018-10-03 12:12:43+00:00,,,,,,,521,220,800044,1989-02-07 12:12:43,1
181003121456,,noname,_,6855,-1.0,32608,56.19482421875,255,0,0,2,0,0,2,10,7,11,8,2,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,3,3359,24768,19.5598046875,"52.408861,-1.825003",2018-10-03 12:13:00+00:00,,,,,,,521,220,800044,1989-02-07 12:13:00,1
181003121600,,noname,_,6586,-1.0,32640,56.255859375,3,0,0,3,3,3,2,4,3,7,9,9,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2359,24772,19.570529785156,"52.408861,-1.825003",2018-10-03 12:14:00+00:00,,,,,,,521,220,800044,1989-02-07 12:14:00,1
